French,English
partie,part
chercher,search
seulement,only
police,police
pensais,thought
genre,kind
mois,month
frère,brother
laisser,let
mettre,to put
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
longtemps,long time
vont,will
pendant,while
aucune,any
voici,here is
pourrais,could
affaire,case
donner,give
type,type
donné,given
train,train
yeux,eyes
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
suite,after
pardon,sorry
venez,come
devant,in front of
demandé,request
mis,placed
droit,law
aujourd'hui,today
mari,husband
cause,cause
espère,hope
eau,water
attendez,Wait
parti,left
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
loin,far
gros,large
aura,will have
jouer,to play
bureau,office
